car_id,year,complaint_id,image_id,audio_id
158,2005,155722.0,16582.0,
364,2011,120114.0,22818.0,
881,2000,73657.0,18861.0,
1103,2004,149747.0,24150.0,
1145,2025,77855.0,21197.0,
1206,2018,120324.0,18591.0,
1583,2018,70862.0,24452.0,
1642,2022,62959.0,27034.0,
1671,2018,8295.0,18487.0,
1725,2022,62669.0,17800.0,
1871,2018,6838.0,22208.0,
2088,2013,8042.0,29577.0,
2359,2014,78763.0,24087.0,
2765,2025,151128.0,18138.0,
2960,2010,70625.0,18137.0,
2969,2000,70641.0,27387.0,
3076,2011,35164.0,,1179.0
3130,2022,120262.0,17486.0,
3328,2024,8180.0,21247.0,
3618,2013,155944.0,26431.0,
3669,2019,120034.0,25722.0,
3824,2018,62642.0,24283.0,
3942,2008,151613.0,24575.0,
4018,2019,140117.0,22031.0,
4509,2001,139872.0,17714.0,
4698,2012,106483.0,29030.0,
4802,2016,79691.0,24910.0,
4995,2025,78152.0,17062.0,
5383,2022,73929.0,24911.0,
5600,2015,57246.0,18365.0,
5688,2004,8252.0,23338.0,
5918,2006,140146.0,20461.0,
5926,2003,35906.0,27415.0,
6204,2012,144417.0,17900.0,
6346,2025,6488.0,21581.0,
7145,2012,156063.0,29394.0,
7453,2016,140247.0,26527.0,
7495,2022,151290.0,27794.0,
8023,2001,62885.0,28384.0,
8331,2015,79182.0,29720.0,
8403,2001,78980.0,24394.0,
8489,2005,155525.0,17097.0,
8506,2016,151150.0,29182.0,
8548,2017,62781.0,16951.0,
8572,2025,140165.0,19831.0,
8690,2012,139952.0,29491.0,
8846,2018,35379.0,25181.0,
9204,2011,106092.0,16726.0,
9216,2001,144376.0,,619.0
9805,2005,151347.0,19004.0,
10324,2022,35145.0,,969.0
10458,2004,73676.0,16377.0,
10943,2023,144618.0,22848.0,
11035,2000,133286.0,17149.0,
11588,2000,149370.0,25256.0,
11589,2003,149348.0,16331.0,
11848,2005,62787.0,18941.0,
11881,2004,35769.0,18583.0,
12070,2021,149319.0,24446.0,
12081,2006,143427.0,18040.0,
12220,2011,144790.0,26720.0,
12419,2019,7857.0,19650.0,
12611,2002,207.0,20988.0,
13041,2007,79991.0,28658.0,
13140,2001,422.0,25995.0,
